Velocity (v),Viscosity (µ),Density (ρ),Diameter (D),Length (L),Pressure Drop (ΔP)
2.1854305348131313,0.002046822734943624,914.3991756567185,0.3417156293350199,36.29312827342238,5785.407157915551
4.7782143788446225,0.0019879151962879996,961.0864658599972,0.1275738629473248,34.67686721624326,69535.2364495332
3.793972738151323,0.004625018322084147,952.0321859580318,0.4425775535096667,5.691955734504525,1502.1339052237647
3.1939631788866647,0.0019981847993980244,830.7799809387548,0.3259023075811587,46.2060478403842,20601.704602633174
1.2020838819909643,0.002087798904514524,829.8498939482948,0.12074174760062942,28.85513790568416,4164.612683673746
1.201975341512912,0.004037593049671855,853.6348735489827,0.48305212586654306,18.822550535648528,1072.322835526717
0.7613762547568976,0.00279895936980216,872.2149452682074,0.28326445850089427,38.07039059127003,383.4116079952528
4.3977926559872085,0.004106842227820725,881.6911162816965,0.08280430334224476,13.610907461680068,50109.89451246144
3.20501755284444,0.001261464630257541,935.939443366669,0.33207480698678027,34.9819820152697,20517.97903683513
3.6863266000822046,0.0029502847746935373,811.3360864331671,0.1639395081557646,2.9458491710401136,3999.8695998247813
0.592630224331111,0.0011344544007331305,806.9345408452133,0.4116620533447861,42.13099384285432,659.0272483630883
4.864594334728975,0.0012506128138214181,878.3821125887819,0.4180199331047858,22.960371504044605,22355.5993547977
4.2459918836018975,0.004625749813377644,939.4327384275961,0.49052631013459785,32.197952803539145,26187.5710721015
1.4555259980522428,0.0015569814844703807,838.6870685912966,0.27584128896102666,11.8406531705275,888.7895370483143
1.318212352431953,0.0031296827291008686,928.3008962512504,0.2547305958774817,34.17661192026395,3260.2669067671377
1.325320294340452,0.002644382410402826,851.9656275880599,0.38906402245091626,38.839773518770556,789.0133284442857
1.8690900933179198,0.002389373305035371,977.2172217627033,0.10961179535386695,24.187446157335536,3871.4686708613167
2.86140394234507,0.00459933338274909,979.1379888533233,0.2961119812069059,31.26861927902792,8298.378783386095
2.4437525838895207,0.001087293587101958,859.4574408562653,0.29581142005888295,23.35997026729753,2843.7714089794367
1.8105311308911887,0.0036551587447023566,845.9987507926481,0.09026290526467426,44.81047709363443,14048.56940619304
3.2533380262507077,0.004853577736854202,882.2607944132462,0.23809283847811114,25.395589845201638,8506.858986233483
1.1277223729341883,0.003240672733847368,848.1063170360297,0.43397815935524087,42.24862674241213,584.9056756269246
1.8146509184084816,0.004747289848132367,934.4767686583407,0.43526912989759714,40.26625085524218,6600.326315207215
